personid,RelativeID,KindredID,MaID,PaID,sex,deceased,suicide,bdate,ddate,gen,Age
56851,56851,553615,62167,0,M,N,N,2005.0,,8,11.0
60524,60524,553615,489,0,F,N,N,1999.0,,9,17.0
7548,7548,553615,32830,22705,M,N,N,2002.0,,10,14.0
14958,14958,553615,62775,0,F,N,N,1999.0,,9,17.0
28564,28564,553615,42150,0,F,N,N,1999.0,,9,17.0
30471,30471,553615,48551,0,M,N,N,1998.0,,10,18.0
33016,33016,553615,21072,21075,F,N,N,1999.0,,8,17.0
34643,34643,553615,32528,0,M,N,N,2005.0,,9,11.0
42151,42151,553615,56907,0,F,N,N,1999.0,,10,17.0
20772,20772,553615,33187,0,F,N,N,1985.0,,8,31.0
21949,21949,553615,36269,0,M,N,N,1982.0,,8,34.0
37747,37747,553615,23423,0,M,N,N,1981.0,,7,35.0
51438,51438,553615,33187,0,F,N,N,1987.0,,8,29.0
37979,37979,553615,0,0,F,N,N,1986.0,,8,30.0
54233,54233,553615,52139,0,F,N,N,2007.0,,9,9.0
57917,57917,553615,40252,0,F,N,N,2006.0,,8,10.0
65105,65105,553615,7629,0,M,N,N,2006.0,,9,10.0
67574,67574,553615,41088,0,M,N,N,1998.0,,9,18.0
585,585,553615,56072,0,M,N,N,2000.0,,9,16.0
4479,4479,553615,51299,12446,M,N,N,2000.0,,9,16.0
11375,11375,553615,27712,45520,F,N,N,2006.0,,8,10.0
19338,19338,553615,28165,0,F,N,N,1999.0,,9,17.0
21394,21394,553615,493,0,M,N,N,2005.0,,9,11.0
23354,23354,553615,48847,65527,M,N,N,2005.0,,10,11.0
34641,34641,553615,50169,0,F,N,N,2006.0,,9,10.0
42098,42098,553615,46779,0,M,N,N,1998.0,,8,18.0
47669,47669,553615,32830,22705,F,N,N,2004.0,,10,12.0
52066,52066,553615,53309,0,F,N,N,2006.0,,10,10.0
31937,31937,553615,40875,0,F,N,N,2007.0,,10,9.0
32602,32602,553615,42111,0,F,N,N,2006.0,,9,10.0
43927,43927,553615,46542,0,F,N,N,2005.0,,9,11.0
